CRN	Subj	Crse	Sect	Title	Prof	Day	Beg	End	Bldg	Room	(Type)	Campus	Max	Avail	WaitCount
21032	ACC	03210	 1	"PRINCIPLES OF ACCTG IRCB and Pre-Business students only. "	"Weidman, Stephanie M."	MW	930	1045	BUSN	121	(Class)	Main	35	35	0
21033	ACC	03210	 2	"PRINCIPLES OF ACCTG IRCB and Pre-Business students only. "	"Weidman, Stephanie M."	MW	1230	1345	BUSN	121	(Class)	Main	35	35	0
21034	ACC	03210	 3	PRINCIPLES OF ACCTG I	"Lee, Eunju"	MW	1400	1515	BUSN	201	(Class)	Main	35	35	0
21035	ACC	03210	 4	PRINCIPLES OF ACCTG I	"Lin, Tony"	TR	1400	1515	BUSN	103	(Class)	Main	35	35	0
21036	ACC	03210	 5	PRINCIPLES OF ACCTG I	"Lin, Tony"	TR	1530	1645	BUSN	101	(Class)	Main	35	35	0
21037	ACC	03210	 6	PRINCIPLES OF ACCTG I	STAFF	T	1830	1945	BUSN	121	(Class)	Main	0	0	0
21038	ACC	03210	 7	PRINCIPLES OF ACCTG I	STAFF	TR	930	1045	BUSN	101	(Class)	Main	0	0	0
21040	ACC	03211	 1	PRINCIPLES OF ACCTG II	"Allen, Robert M."	MW	1530	1645	BUSN	131	(Class)	Main	35	35	0
21039	ACC	03211	 2	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	"Lee, Eunju"	MW	1230	1345	BUSN	235	(Class)	Main	35	35	0
21041	ACC	03211	 3	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	"Li, Pei"	MW	1400	1515	BUSN	208	(Class)	Main	35	35	0
21042	ACC	03211	 4	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	"Lee, Eunju"	MW	1700	1815	BUSN	131	(Class)	Main	35	35	0
21043	ACC	03211	 5	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	STAFF	M	1830	1945	BUSN	131	(Class)	Main	35	35	0
21044	ACC	03211	 6	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	"Zhang, Mei"	TR	930	1045	BUSN	121	(Class)	Main	35	35	0
21045	ACC	03211	 7	"PRINCIPLES OF ACCTG IIRCB and Pre-Business students only. "	"Zhang, Mei"	TR	1400	1515	BUSN	121	(Class)	Main	35	35	0
21046	ACC	03211	 8	PRINCIPLES OF ACCTG II	STAFF	W	1830	1945	BUSN	121	(Class)	Main	0	0	0
21047	ACC	03211	 9	PRINCIPLES OF ACCTG II	STAFF	TR	1100	1215	BUSN	103	(Class)	Main	0	0	0
21049	ACC	03300	 1	"SUPERVISED INTERNSHIP ACCTRequires permission of ACCF Department to enroll. "	STAFF	M	1700	1815	BUSN	121	(Class)	Main	0	0	0
21051	ACC	03301	 1	"ACCOUNTING ANALYTICSAccounting majors only. "	"McFarland, Daniel J."	MW	800	915	BUSN	107	(Class)	Main	24	24	0
